Column1;Column2;Column3;Column4
漂亮;piàoliang;красивый, прекрасный;1
苹果;píngguǒ;яблоко (сч. слово 个 ge);1
七;qī;7, семь;1
前面;qiánmian;спереди, впереди, перед;1
钱;qián;деньги (сч. слово 块 kuài для единиц, 笔 bǐ для сумм);1
请;qǐng;приглашать, просить, пожалуйста, угощать;1
去;qù;идти, уходить (направит. глагол, обозначает движение в сторону от говорящего в данный момент);1
热;rè;горячий, разогревать;1
人;rén;человек (сч. слово 个 ge, 位 wèi);1
认识;rènshi;"быть знакомым, знать; познание, понимание";1
三;sān;3, три;1
商店;shāngdiàn;магазин (сч. слово 家 jiā, 个 ge);1
上;shàng;на, над;1
上午;shàngwǔ;утро, первая половина дня, до обеда (с 9 до 11);1
少;shǎo;"мало, меньше; не хватает...";1
谁;shéi;кто? (также shuí);1
什么;shénme;что? какой? ;1
十;shí;10, десять;1
时候;shíhou;время (момент времени);1
是;shì;являться, да;1
书;shū;книга (сч. слово 本 běn, 册 cè том);1
水;shuǐ;вода;1
水果;shuǐguǒ;фрукт (букв. вода + плод);1
睡觉;shuì jiào;спать, идти спать;1
说话;shuō huà;говорить, разговаривать, рассказывать;1
四;sì;4, четыре;1
岁;suì;год, лет (указывает на возраст);1
他;tā;он;1
她;tā;она;1
太;tài;слишком, чересчур;1
天气;tiānqì;погода;1
听;tīng;слушать,слышать,  слушаться;1
同学;tóngxué;"одногруппник, одноклассник (букв. одинаковый + учиться; сч. 个 ge, 位 wèi)";1
喂;wèi, wéi;алло, эй;1
我;wǒ;я;1
我们;wǒmen;мы;1
五;wǔ;5, пять;1
喜欢;xǐhuan;нравится ч-л или к-л, любить ч-л делать;1
下;xià;под, вниз;1
下午;xiàwǔ;после обеда, днем (с 13:00 до 17:00);1
下雨;xià yǔ;идет дождь (букв. вниз + дождь);1
先生;xiānsheng;"господин, мистер (букв. сначала + рождаться; сч. слово 位 wèi)";1
现在;xiànzài;сейчас;1
想;xiǎng;хотеть, думать, скучать;1
小;xiǎo;маленький, молодой;1
小姐;xiǎojiě;мисс, девушка (сч. слово 个 ge, 位 wèi);1
些;xiē;некоторые, несколько (сч. слово, указывающее на множественно число);1
写;xiě;писать;1
谢谢;xièxie;спасибо;1
星期;xīngqī;неделя (сч. слово 个 ge);1
学生;xuésheng;студент, ученик (сч. слово 个 ge, 名 míng);1
学习;xuéxí;учиться, изучать, учеба;1
学校;xuéxiào;школа, учебное заведение (сч. слово 所 suǒ);1
一;yī;1, один;1
一点儿;yì diǎnr;немного, чуть-чуть;1
医生;yīshēng;врач, доктор (сч. слово 个 ge, 位 wèi, 名 míng);1
医院;yī yuàn;"больница (букв. медицина + дворик; сч. слово 所 suǒ, 家 jiā)";1
衣服;yīfu;одежда (сч. слово 件 jiàn) ;1
椅子;yǐzi;стул (сч. слово 把 bǎ);1
有;yǒu;иметь, обладать;1
月;yuè;месяц (сч. слово 个 ge);1
再见;zài jiàn;до свидания (букв. снова + видеть);1
在;zài;"находиться; (предлог, указывающий на опр. место/время/обстановку)";1
怎么;zěnme;как? каким образом?;1
怎么样;zěnme yàng;как? каким образом? как дела? ;1
这;zhè;это, этот (также zhèi);1
中国;Zhōngguó;Китай;1
中午;zhōngwǔ;полдень, 12:00;1
住;zhù;жить, проживать (где-либо);1
桌子;zhuōzi;стол (сч. слово 张 zhāng);1
字;zì;иероглиф, знак (сч. слово 个 ge);1
昨天;zuótiān;вчера;1
做;zuò;делать, готовить (еду);1
坐;zuò;"сидеть, садить; пользоваться к-л транспортом";1
吧;ba;(частица, выражает предложение ч-л сделать, догадку и пр.);2
白;bái;"белый; зря (ч-л сделать)";2
百;bǎi;100, сто, сотня;2
帮助;bāngzhù;помогать, помощь;2
报纸;bàozhǐ;"газета (букв. докладывать + бумага; сч. слово 份 fèn, 张 zhāng)";2
比;bǐ;сравнивать, по сравнению с...;2
别;bié;"не надо, не делай ч-л; другие";2
宾馆;bīnguǎn;гостиница, постоялый двор (сч. слово 家 jiā, 个 ge);2
长;cháng;длинный;2
唱歌;chàng gē;петь (песню);2
出;chū;"выходить; (направит. глагол, указывает направление действия наружу, вовне); (сч. слово для опер, пьес в театре)";2
穿;chuān;"носить, надевать (одежду); продевать/протыкать насквозь";2
次;cì;"раз (сч. слово для событий, действий); следующий";2
从;cóng;из, с..., через;2
错;cuò;ошибка, ошибаться;2
打篮球;dǎ lánqiú;играть в баскетбол (букв. бить + корзина + мяч);2
大家;dàjiā;все;2
到;dào;достигать, добираться (результативная морфема после глаголов);2
得;de;(постглагольный показатель, указыает на оценку действия);2
等;děng;"ждать; и так далее";2
弟弟;dìdi;младший брат (сч. слово 个 ge);2
第一;dì yī;первый;2
懂;dǒng;понимать;2
对;duì;к, по отношению к... (предлог);2
对;duì;правильный, верно;2
房间;fángjiān;комната (сч. слово 间 jiān);2
非常;fēicháng;очень, крайне (букв. не + обычно);2
服务员;fúwù yuán;официант(-ка), обслуживающий персонал (сч. слово 个 ge);2
高;gāo;высокий;2
告诉;gàosu;проинформировать, сказать что-то к-л;2
哥哥;gēge;старший брат;2
给;gěi;"давать; для (предлог, указывает адресат действия, зачастую переводится дательным падежом)";2
公共汽车;gōnggòng qìchē;"общественный автобус (общественный + авто; сч. слово 辆 liàng)";2
公司;gōngsī;фирма, компания (сч. слово 家 jiā);2
贵;guì;"дорогой; драгоценный, уважаемый";2
过;guo;(постглагольная частица, указывает на то, что действие совершалось в прошлом хоть раз);2
孩子;háizi;ребенок (сч. слово 个 ge);2
还;hái;еще, все еще;2
好吃;hǎochī;"вкусный (про еду; букв. хорошо + кушать)";2
黑;hēi;черный, темный;2
红;hóng;"красный; популярный";2
火车站;huǒchē zhàn;ж/д возкал, станция (букв. огонь + машина + стоять);2
机场;jīchǎng;аэропорт (сч. слово 座 zuò);2
鸡蛋;jī dàn;"куриное яйцо (курица + яйцо; сч. слово 个 ge)";2
件;jiàn;(счетное слово для вещей, одежды, событий);2
教室;jiàoshì;"аудитория, класс (букв. обучать + комната; сч. слово 间 jiān)";2
姐姐;jiějie;старшая сестра;2
介绍;jièshào;"знакомить с кем-либо/чем-либо; представлять, рассказывать про ч-л";2
近;jìn;ближний;2
进;jìn;входить (направит. глагол, указывает на направления действия внутрь);2
就;jiù;сразу же, именно, тотчас, и... (наречие);2
觉得;juéde;думать, считать, чувствовать;2
咖啡;kāfēi;кофе (сч. слово 杯 bēi);2
开始;kāishǐ;начинать, начало;2
考试;kǎoshì;экзамен (сч. слово 次 cì);2
可能;kěnéng;возможно, мочь, иметь возможность, возможность;2
可以;kěyǐ;мочь, иметь возможность (разрешено);2
课;kè;урок (сч. слово 节 jié), дисциплина (сч. слово 门 mén);2
快;kuài;быстрый;2
快乐;kuàilè;веселый;2
累;lèi;уставший, уставать;2
离;lí;разлучаться, покидать, отстоять на к-л расстоянии от...;2
两;liǎng;два, пара (перед сч. словами);2
零;líng;ноль, 0;2
路;lù;дорога, путь (сч. слово 条 tiáo);2
旅游;lǚyóu;путешествовать, путешествие;2
卖;mài;продавать;2
慢;màn;медленный;2
忙;máng;занятой;2
每;měi;каждый;2
妹妹;mèimei;младшая сестра;2
门;mén;"дверь, ворота; (сч. слово для дисциплин/наук)";2
面条;miàntiáo;лапша;2
男;nán;мужской;2
您;nín;Вы (уважит., единст. число);2
牛奶;niú nǎi;коровье молоко (корова + молоко);2
女人;nǚrén;женщина;2
旁边;pángbiān;рядом, сбоку (послелог);2
跑步;pǎo bù;бегать;2
便宜;piányi;дешевый;2
票;piào;билет (сч. слово 张 zhāng);2
妻子;qīzi;жена;2
起床;qǐ chuáng;вставать с кровати (букв. подниматься + кровать);2
千;qiān;тысяча, 1000;2
铅笔;qiān bǐ;"карандаш (букв. графит + пишущий предмет; сч. слово 支 zhī)";2
晴;qíng;ясный, хорошая (погода);2
去年;qù nián;прошлый год (букв. уходить + год);2
让;ràng;позволять, просить, заставить сделать ч-л;2
日;rì;"день, дата (такой-то день); сокращение для 日本 Япония, японский";2
上班;shàng bān;ходить на работу, начинать свою смену;2
身体;shēntǐ;тело, здоровье;2
生病;shēng bìng;заболеть;2
生日;shēng rì;день рождения;2
时间;shíjiān;время (как отрезок), период (сч. слово 段 duàn);2
事情;shìqing;"дело, событие; случай";2
手表;shǒu biǎo;"наручные часы (букв. рука + часы; сч. слово 块 kuài)";2
手机;shǒu jī;"мобильный телефон (букв. рука + аппарат; сч. слово 部 bù)";2
说话;shuō huà;говорить, разговаривать, рассказывать (букв. говорить + речь);2
送;sòng;"доставлять, дарить; посылать; провожать";2
但是;dànshì…;но...;2
它;tā;оно (про неодушевленные объекты и животных);2
踢足球;tī zúqiú;играть в футбол (букв. пинать + нога + мяч);2
题;tí;тема, вопрос, упоминать;2
跳舞;tiào wǔ;танцевать (букв. прыгать + танец);2
外;wài;вне, внешний, иной, заграничный, снаружи;2
完;wán;заканчивать (посглагольная результативная морфема);2
玩;wán;развлекаться, играть;2
晚上;wǎnshang;вечер, вечером;2
往;wǎng;"(предлог) к, по направлению к..., в сторону...; прошлое";2
为什么;wèi shénme;почему? зачем?;2
问;wèn;спрашивать;2
问题;wèntí;вопрос, проблема (сл. слово 个 ge);2
希望;xīwàng;надежда, надеяться;2
西瓜;xīguā;"арбуз (букв. запад + дыня; сч. слово 个 ge, 块 kuài кусок)";2
洗;xǐ;мыть, купаться;2
小时;xiǎoshí;"час (букв. маленький + время; сч. слово 个 ge)";2
笑;xiào;"смеяться, улыбаться; улыбка";2
新;xīn;новый;2
姓;xìng;фамилия, иметь такую-то фамилию;2
休息;xiūxi;отдыхать, отдых;2
雪;xuě;снег;2
颜色;yánsè;цвет(-а);2
眼睛;yǎnjing;глаз(-а) (сч. слово 只 zhī, 双 shuāng пара);2
羊肉;yáng ròu;баранина (букв. овца + мясо);2
药;yào;лекарство, препарат (сл. слово 种 zhǒng разновидность);2
要;yào;хотеть, нужно, намереваться ч-л сделать;2
也;yě;тоже;2
自行车;zìxíngchē;велосипед;2
已经;yǐjīng;уже;2
一起;yìqǐ;вместе;2
意思;yìsi;смысл, значение, идея, интерес;2
因为;yīnwèi;так как..., потому что...;2
阴;yīn;инь, женское/отрицательное начало, темный, скрытый;2
游泳;yóuyǒng;плавать;2
右边;yòubiān;справа (букв. правый + сторона);2
鱼;yú;рыба (сч. слово 条 tiáo);2
远;yuǎn;далекий;2
运动;yùndòng;спорт, движение, кампания;2
再;zài;снова, затем;2
早上;zǎoshang;утром, утро;2
丈夫;zhàng fu;муж, супруг;2
找;zhǎo;искать, обращаться к к-н, давать сдачу;2
着;zhe;(постгл. показатель продолжительности действия);2
真;zhēn;правда, настоящий, в самом деле, действительно;2
正在;zhèngzài;сейчас (показатель того, что действие осуществляется в данный момент);2
知道;zhīdào;знать;2
准备;zhǔnbèi;готовиться, подготовка;2
走;zǒu;ходить, уходить, двигаться;2
最;zuì;самый;2
左边;zuǒ biān;слева (букв. левый + сторона);2
啊;a;(междомет., выражает удивление, восторг, согласие и пр.);3
阿姨;āyí;тетя (по маме), тетушка, няня, уборщица, служанка (при обращении);3
矮;ǎi;низкий, невысокий, короткий (по высоте);3
爱好;àihào;хобби (сч. слово 个 ge);3
安静;ānjìng;тихий, спокойный;3
把;bǎ;"(предлог, указывает на прямое дополнение перед глагольным сказуемым; переводится чаще всего винительным падежом)";3
搬;bān;переезжать, передвигать, двигать;3
班;bān;"группа, рабочая смена, команда; сч. слово для групп людей (сч. слово 个 ge)";3
办法;bànfǎ;способ, метод, решение (сч. слово 个 ge);3
办公室;bàngōng shì;офис, бюро (сч. слово 间 jiān);3
半;bàn;половина, пол-;3
帮忙;bāng máng;помогать, оказывать услугу;3
包;bāo;"обертывать, заворачивать; сумка ( также как сч. слово)";3
饱;bǎo;сытый, полный;3
北方;běi fāng;север, на севере, северная сторона;3
被;bèi;(показатель пассивного залога);3
鼻子;bízi;нос;3
比较;bǐjiào;сравнивать, сравнительно, относительно;3
比赛;bǐsài;соревнование (сч. слова 场 chǎng, 次 cì);3
笔记本;bǐjìběn;"блокнот; ноутбук";3
必须;bìxū;должен, необходимо, обязательно должно...;3
变化;biànhuà;перемена, менять(-ся);3
别人;biérén;другие;3
冰箱;bīngxiāng;"холодильник (букв. лед + ящик; сч. слово 台 tái, 个 ge)";3
而且;érqiě;но и..., к тому же...;3
菜单;càidān;"меню (букв. блюдо + список; сч. слово 张 zhāng, 份 fèn)";3
参加;cānjiā;принимать участие;3
草;cǎo;трава;3
层;céng;этаж, слой (также сч. слово с таким значением);3
差;chà;отличаться, недоставать, плохой;3
超市;chāoshì;"супермаркет (букв. сверх + город/рынок; сч. слово 家 jiā)";3
衬衫;chènshān;рубашка, блузка (сч. слово 件 jiàn);3
城市;chéngshì;город (сч. слово 个 ge, 所 suǒ);3
成绩;chéngjī;оценки/успеваемость (в школе), достижения, успехи;3
迟到;chídào;опаздывать;3
除了;chúle;кроме...;3
船;chuán;корабль, лодка (сч. слово 只 zhī);3
春;chūn;весна, весенний;3
词典;cídiǎn;"словарь (букв. слово + талмуд; сч. слово 本 běn, 部 bù)";3
聪明;cōngming;умный;3
打扫;dǎsǎo;убираться, подметать;3
打算;dǎsuàn;планировать, план;3
带;dài;"носить; имея при себе; вести (за собой); пояс";3
担心;dānxīn;волноваться, переживать;3
蛋糕;dàngāo;торт (сч. слово 个 ge, 块 kuài кусочек);3
当然;dāngrán;конечно, разумеется;3
地;de;(вспом. частица, показатель обстоятельства в предложении);3
灯;dēng;"лампа, люстра (сч. слово 盏 zhǎn); свет";3
地方;dìfang;место, пункт;3
地铁;dìtiě;метро;3
地图;dìtú;"карта (местности; сч. слово 张 zhāng)";3
电梯;diàntī;лифт, эскалатор (сч. слово 部 bù);3
电子邮件;diànzǐ yóujiàn;e-mail, электронное письмо (сч. слово 封 fēng);3
东;dōng;восток, восточный;3
冬;dōng;зима, зимний;3
动物;dòngwù;животное (сч. слово 只 zhī, 群 qún стая, группа);3
短;duǎn;короткий;3
段;duàn;"параграф, отрезок, период времени, стадия; также сч. слово";3
锻炼;duànliàn;закаляться, тренироваться, заниматься физкультурой;3
多么;duōme;"настолько...; насколько бы...";3
饿;è;голодный;3
耳朵;ěrduo;уши, ухо;3
发;fā;посылать, испускать, развивать;3
发烧;fā shāo;жар, иметь высокую температуру;3
发现;fāxiàn;обнаружить;3
方便;fāngbiàn;удобный;3
放;fàng;класть, выпускать, пропустить;3
放心;fàngxīn;"успокаиваться; быть спокойным";3
分;fēn;"делить; разделять; минута; часть";3
复习;fùxí;"повторять (изученное; букв. повторять + изучать)";3
附近;fùjìn;поблизости;3
干净;gānjìng;чистый;3
感冒;gǎnmào;простудиться, простуда;3
兴趣;xìngqù;интерес к ч-л;3
刚才;gāngcái;только что;3
个子;gèzi;рост, комплекция, телосложение, фигура;3
根据;gēnjù;"согласно...; данные, основания";3
跟;gēn;с (предлог), следовать за...;3
更;gèng;более;3
公斤;gōngjīn;килограмм;3
公园;gōngyuán;парк (сч. слово 座 zuò);3
故事;gùshi;история, рассказ;3
刮风;guā fēng;дует ветер, ветрено;3
关;guān;закрывать, выключать;3
关系;guānxi;отношения, связь(-и), блат;3
关心;guānxīn;заботиться, внимание, забота;3
关于;guānyú;о..., касательно;3
国家;guójiā;страна (сч. слово 个 ge);3
过;guò;переходить, переплывать, пройти (через... );3
过去;guòqù;прошлое, в прошлом;3
还是;hái shì;"все еще...; или";3
害怕;hàipà;бояться;3
黑板;hēibǎn;"доска (в классе; букв. черный + доска; сч. слово 块 kuài)";3
后来;hòulái;потом, затем;3
护照;hùzhào;паспорт (сч. слово 本 běn);3
花;huā;тратить ч-л;3
花;huā;цветок (сч. слово 朵 duǒ, 束 shù);3
画;huà;рисовать, картина (сл. слово 幅 fù);3
坏;huài;плохой, ломаться, портиться, сломанный;3
欢迎;huānyíng;добро пожаловать;3
环境;huánjìng;"окружающая среда, обстановка; положение; окружение";3
还;huán;возвращать;3
换;huàn;обменять, менять;3
河;hé;река;3
回答;huídá;отвечать, ответ;3
会议;huìyì;"конференция; заседание, совещание";3
或者;huòzhě;или;3
几乎;jīhū;почти, практически;3
机会;jīhuì;возможность, шанс;3
极;jí;крайне, полюс;3
季节;jìjié;сезон, время года;3
记得;jìde;помнить;3
检查;jiǎnchá;проверять, проверка;3
简单;jiǎndān;простой;3
健康;jiànkāng;здоровый, здоровье;3
见面;jiàn miàn;встречаться;3
讲;jiǎng;говорить, рассказывать, объяснять;3
教;jiāo;обучать, учить;3
脚;jiǎo;"нога; ступня, стопа; ножка (предмета)";3
角;jiǎo;угол, рог;3
接;jiē;встречать/принимать, получать, брать, соединять, перенимать;3
街道;jiēdào;улица (сч. слово 条 tiáo);3
结婚;jiéhūn;вступить в брак, жениться;3
结束;jiéshù;заканчивать, завершать;3
节目;jiémù;"программа (напр. по тв; сч. слово 个 ge)";3
节日;jiérì;праздник (сч. слово 个 ge);3
解决;jiějué;решать (напр. проблему), уладить;3
借;jiè;"одалживать, занимать; посредством, под предлогом";3
经常;jīngcháng;часто, регулярно;3
经过;jīngguò;"проходить (через..., по...); через; испытывать";3
经理;jīnglǐ;менеджер, директор (сч. слова 个 ge,  位 wèi, 名 míng);3
久;jiǔ;длительное время, долго;3
旧;jiù;старый, устаревший (как антоним 新 xīn новый);3
句子;jùzi;предложение (сч. слово 个 ge);3
决定;juédìng;решать, решение, принимать решение;3
可爱;kě ài;милый;3
渴;kě;испытывать жажду;3
刻;kè;"четверть (часа); момент; вырезать, гравировать";3
客人;kèrén;гость (сч. слово 位 wèi);3
空调;kōngtiáo;кондиционер (сч. слово 台 tái);3
口;kǒu;"рот; (также сч. слово для объектов - людей, колодцев, посуды, животных и пр.)";3
哭;kū;плакать;3
裤子;kùzi;штаны, брюки (сч. слово 条 tiáo);3
筷子;kuàizi;палочки (сч. слово 双 shuāng пара, 支 zhī одна);3
蓝;lán;"голубой; синий";3
老;lǎo;"старый (про людей); постоянно; старший; (префикс перед фамилиями)";3
离开;líkāi;покидать, уходить;3
礼物;lǐwù;подарок (сч. слово 件 jiàn, 份 fèn, 个 ge);3
历史;lìshǐ;история (сч. слово 门 mén как наука, 段 duàn как период);3
脸;liǎn;лицо (сч. слово 张 zhāng);3
练习;liànxí;упражняться, упражнение (сч. слово 个 ge);3
辆;liàng;сч. слово для наземного транспорта;3
聊天;liáotiān;болтать;3
了解;liǎojiě;понимать, узнавать;3
邻居;línjū;сосед, соседний (сч. слово 个 ge);3
留学;liúxué;учиться за границей;3
楼;lóu;"многоэтажный дом (сч. слово 栋 dòng); этаж";3
绿;lǜ;зеленый;3
马;mǎ;"лошадь (сч. слово 匹 pǐ); сокр. Малайзия";3
马上;mǎshàng;сразу, сейчас же (букв. на лошади);3
满意;mǎnyì;быть удовлетворенным, удовлетворённый;3
帽子;màozi;головной убор, шапка (сч. слово 顶 dǐng);3
米;mǐ;"рис; метр";3
面包;miànbāo;хлеб (сч. слово 个 ge);3
明白;míngbai;ясно, понятно, понимать;3
拿;ná;держать, брать, хватать, нести;3
奶奶;nǎinai;бабушка (по папе);3
南;nán;юг, южный;3
难;nán;трудный;3
难过;nánguò;"трудно пережить (тяжёлое время); грустить";3
年级;niánjí;класс, курс;3
年轻;niánqīng;молодой;3
鸟;niǎo;птица (сч. слово 只 zhī);3
努力;nǔlì;"стараться, старания; усердие";3
爬山;pá shān;ходить в горы, карабкаться/лазить по горам;3
盘子;pánzi;"тарелка; блюдо; поднос";3
胖;pàng;толстый, жирный;3
啤酒;píjiǔ;пиво (сч. слово 瓶 píng бутылка, 杯 bēi стакан);3
皮鞋;pí xié;кожаная обувь;3
瓶子;píngzi;бутылка (сч. слово 个 ge);3
其实;qíshí;на самом деле;3
其他;qítā;другие;3
奇怪;qíguài;странный;3
骑;qí;ездить верхом (на коне, велосипеде);3
起飞;qǐfēi;взлетать;3
起来;qǐlai;"(направит. глагол, направление действия вверх; также обозначает начало действия); вставать, подниматься";3
清楚;qīngchu;ясный, понятный, отчетливый;3
请假;qǐng jià;"просить об отпуске; отпрашиваться с работы";3
秋;qiū;осень, осенний;3
裙子;qúnzi;юбка (сч. слово 条 tiáo);3
然后;ránhòu;потом, затем;3
热情;rèqíng;"сердечность; сердечный; пылкость, энтузиазм";3
认为;rènwéi;считать, полагать;3
认真;rènzhēn;"серьёзный; добросовестный";3
容易;róngyì;легкий, простой;3
如果;rúguǒ;если;3
伞;sǎn;зонтик (сч. слово 把 bǎ);3
上网;shàng wǎng;заходить в интернет, сидеть в интернете;3
声音;shēngyīn;голос, звук (сч. слово 个 ge);3
生气;shēngqì;злиться, сердитый;3
世界;shìjiè;мир, свет (сч. слово 个 ge);3
试;shì;пробовать, тестировать, примерять;3
瘦;shòu;худой;3
叔叔;shūshu;"дядя; младший брат папы";3
舒服;shūfu;удобный, уютный, хорошо себя чувствовать;3
数学;shùxué;математика;3
树;shù;дерево (сч. слово 棵 kē);3
刷牙;shuā yá;чистить зубы;3
双;shuāng;пара;3
水平;shuǐpíng;уровень, стандарт;3
司机;sījī;шофер, водитель;3
太阳;tàiyáng;солнце;3
特别;tèbié;особенно, особенный;3
疼;téng;больно, болезненный;3
提高;tígāo;повышать;3
体育;tǐyù;физкультура, спорт;3
甜;tián;сладкий;3
条;tiáo;"линия, лоскут; (сч. слово для продолговатых объектов: рыба, река, дорого и др.)";3
同事;tóngshì;коллега, товарищ по работе;3
同意;tóngyì;соглашаться;3
头发;tóufa;волосы (на голове);3
突然;tūrán;вдруг, неожиданный;3
图书馆;túshūguǎn;библиотека (сч. слово 家 jiā);3
腿;tuǐ;нога (сч. слово 条 tiáo);3
完成;wánchéng;заканчивать, завершать;3
碗;wǎn;"плошка, пиала; в том числе и как сч. слово";3
万;wàn;10 000, десять тысяч;3
忘记;wàngjì;забывать;3
为;wèi;для, из-за, в качестве (предлог);3
为了;wèile;для, ради, с целью;3
位;wèi;"позиция, положение; уважительное сч. слово для личностей";3
文化;wénhuà;культура (сч. слово 种 zhǒng);3
西;xī;запад, западный;3
习惯;xíguàn;привыкать, привычка (сч. слово 个 ge);3
洗手间;xǐ shǒu jiān;уборная, туалет (букв. мыть + руки + помещение);3
洗澡;xǐzǎo;мыться, купаться;3
夏;xià;лето, летний;3
先;xiān;сначала, сперва;3
相信;xiāngxìn;верить, поверить;3
香蕉;xiāngjiāo;банан (сч. слово 根 gēn, 把 bǎ связка);3
像;xiàng;быть похожим, казаться, вид;3
向;xiàng;направление, в направлении к (предлог);3
小心;xiǎoxīn;осторожно, быть осторожным (букв. маленький + сердце);3
校长;xiàozhǎng;директор школы, учебного заведения (сч. слово 个 ge, 位 wèi, 名 míng);3
新闻;xīnwén;новости (сч. слово 条 tiáo);3
新鲜;xīnxiān;свежий;3
信用卡;xìnyòng kǎ;кредитная карта;3
行李;xíngli;багаж;3
熊猫;xióngmāo;панда (сч. слово 只 zhī);3
需要;xūyào;нужно, нуждаться, необходимо, потребность, спрос;3
选择;xuǎnzé;выбирать, выбор, альтернатива;3
要求;yāoqiú;требовать, просить, запрашивать;3
爷爷;yéye;дедушка (по папе);3
一直;yìzhí;прямо, постоянно, все время;3
一定;yídìng;обязательно, точно;3
一共;yígòng;всего;3
一会儿;yí huìr;чуть-чуть, немного (о времени);3
一样;yíyàng;одинаковый (букв. один + тип);3
以前;yǐqián;раньше, до;3
一般;yìbān;обычно, как правило;3
一边;yì biān;"одна сторона, в стороне; с одной стороны";3
音乐;yīnyuè;музыка;3
银行;yínháng;банк (сч. слово 家 jiā);3
饮料;yǐnliào;напиток;3
应该;yīnggāi;должен, следует;3
影响;yǐngxiǎng;влиять, влияние;3
用;yòng;использовать, применять;3
游戏;yóuxì;игра, забава (сч. слово 场 chǎng);3
有名;yǒumíng;известный (букв. иметь имя);3
又;yòu;снова, опять, к тому же;3
